DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
3712325,DNY TRANSPORT LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3712408,JSY PREMIER TRANSPORT LLC,FL,BROWARD,Normal,,0,1,15000
3712490,LOAIZA TRANSPORT LLC,FL,ORANGE,Normal,,0,1,15000
3712540,BROTHERS HEAVY HAUL TRUCKING LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3712860,JPM NIGHTHAWK LLC,FL,LAKE,Normal,,0,1,15000
3713252,YH TRUCK LOGISTICS CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3713724,YRL TRANSPORTATION LLC,FL,BROWARD,Normal,,0,1,15000
3714248,LYGUS LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3714859,Y & C CRUZ CORPORATION,FL,MIAMI-DADE,High Risk,,0,1,17500
3715022,CHAVO TRANSPORT LLC,FL,CLAY,Normal,,0,1,15000
3715161,HUGH TAYLOR TRANSPORTATION LLC,FL,PALM BEACH,Normal,,0,1,15000
3715358,M&N INFINITY CARRIER LLC,FL,CLAY,Normal,,0,1,15000
3715617,ACHOR CAPITAL LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3716215,SUN TRANSPORT LLC,FL,ORANGE,Normal,,0,1,15000
3716878,BEARVRY CARRIERS LLC,FL,ORANGE,Normal,,0,1,15000
3717150,QUALITY TRANSPORT & MULTISERVICES CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3717990,MAIKOL & KEYLA TRUCKING CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3719144,NOGR LOGISTICS LLC,FL,DUVAL,Normal,,0,1,15000
3719147,RAINEY LOGISTICS LLC,FL,INDIAN RIVER,Normal,,0,1,15000
3719529,MATHIEUS TRANSPORT LLC,FL,PALM BEACH,Normal,,0,1,15000
3720165,ROAR DELIVERY INC,FL,BROWARD,Normal,,0,1,15000
3720552,ANKA FREIGHT LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3721976,DM DELIVERY LOGISTICS INC,FL,ORANGE,Normal,,0,1,15000
3723046,VICTORIA LOGISTICS CARRIER LLC,FL,PINELLAS,Normal,,0,1,15000
3724176,GRIND TOGETHER SHINE TOGETHER LLC,FL,ORANGE,Normal,,0,1,15000
3724176,GRIND TOGETHER SHINE TOGETHER LLC,FL,ORANGE,Normal,,0,1,15000
3726066,ITALVEN TRUCKING LLC,FL,DUVAL,Normal,,0,1,15000
3726330,GET HER TRUCKING LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3727019,2K HAUL N 1 LLC,FL,ORANGE,Normal,,0,1,15000
3727255,GGJB LOGISTIC LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3729269,SHANGO POWER TRUCKS LLC,FL,HILLSBOROUGH,Normal,,0,1,15000
3730693,CATCH UP TRUCKING COMPANY LLC,FL,PALM BEACH,Normal,,0,1,15000
3731280,R D F CARGO LLC,FL,MIAMI-DADE,High Risk,,0,1,17500
3731625,A M TAYLOR LOGISTICS LLC,FL,VOLUSIA,Normal,,0,1,15000
3733075,COSTELLO TRUCKING LLC,FL,HERNANDO,Normal,,0,1,15000
3733769,BIG MAX HAULING SERVICES LLC,FL,BROWARD,Normal,,0,1,15000
3735067,M E & N LOGISTIC INC,FL,HILLSBOROUGH,Normal,,0,1,15000
3735289,BARBY & DANY EXPRESS SERVICE INC,FL,SAINT LUCIE,Normal,,0,1,15000
3735791,THE RED TOP CORP,FL,MIAMI-DADE,High Risk,,0,1,17500
3736521,DON GUILLO TRANSPORT LLC,FL,POLK,Normal,,0,1,15000
